"","sort.distMatrix..1.50."
"1",1.09920202536957
"2",1.11253258685286
"3",1.55032633081732
"4",1.66209438935554
"5",1.76090833108396
"6",1.86255539596115
"7",1.93004062305819
"8",1.99529550631615
"9",2.03396994146991
"10",2.16226266866476
"11",2.25194324616716
"12",2.31812062508998
"13",2.52201389671578
"14",2.71095748848949
"15",2.81761427615589
"16",2.87922621922375
"17",3.09593231929575
"18",3.20110952525309
"19",3.23057545121838
"20",3.2955608482277
"21",3.44326053585728
"22",3.60530536260714
"23",3.6500715678518
"24",3.68630851414433
"25",3.75213560812279
"26",3.77348872297591
"27",3.79097717642228
"28",3.8265317969078
"29",3.90042092922
"30",3.90435057750616
"31",3.92943990084697
"32",4.10788869395483
"33",4.22604354298248
"34",4.29416654116909
"35",4.38062221507435
"36",4.39354715024347
"37",4.55892193984172
"38",4.56526771035193
"39",4.57596710865801
"40",4.71455917309529
"41",4.96329191134383
"42",4.99185897070589
"43",5.01008514735729
"44",5.02937553488581
"45",5.04158946106689
"46",5.10301853855337
"47",5.10547809121624
"48",5.13288382678308
"49",5.17054846065351
"50",5.24668246158182
